title,author,format,status,pct_complete,first_seen,last_seen,events,sources,note_file
"The Mythical Man-Month, Anniversary Edition: Essays on Software Engineering",Frederick P. Brooks Jr.,ebook,borrowed,,2026-05-07,,2,kindle-library; library-via-kindle,
Inside the Box,David Epstein,audiobook,finished,100,2026-05-05,,1,audible,
Book and Dagger,Elyse Graham,library,borrowed,,2026-05-03,,1,libby,
Mexodus,"Nygel D. Robinson,Brian Quijada",audiobook,finished,98,2026-05-03,,1,audible,
"How Deeply Human Is Language?: Chomsky, the Brain, and the AI Fantasy",Yosef Grodzinsky,print,owned,,2026-04-29,,1,amazon-print; shelf-photo,
Your Default Settings: Adjust Your Autopilot to Build a More Stable and Impact,Rad Wendzich,audiobook+ebook,owned,38,2026-04-24,,2,audible; kindle-library,
The Death and Life of Great American Cities,"Jane Jacobs,Jason Epstein - introduction",audiobook,owned,,2026-04-20,,1,audible-shared,
There Are No Accidents,Jessie Singer,audiobook,owned,,2026-04-20,,1,audible-shared,
When the Forest Breathes,Suzanne Simard,library,borrowed,,2026-04-09,,1,libby,
The Final Empire: Mistborn Book 1 (Unabridged),,,wishlist,,2026-04-05,,1,audible-wishlist,
The Perfect Storm: A True Story of Men Against the Sea (Unabridged),,,wishlist,,2026-04-05,,1,audible-wishlist,
Dune: Book One in the Dune Chronicles (Unabridged),,,wishlist,,2026-04-05,,1,audible-wishlist,
The Quiet American,Graham Greene,library,borrowed,,2026-03-22,,1,libby,
Norse Mythology,,print,owned,,2026-03-10,,1,amazon-print,
Awakening Your Ikigai,Ken Mogi,library,borrowed,,2026-02-10,,1,libby,
Unbreakable,"Vonda Wright, MD",library,borrowed,,2026-01-27,,1,libby,
Joyspan,Dr. Kerry Burnight,library,borrowed,,2026-01-23,,1,libby,
Learn French 10-in-1: 20+ Hours with Study Soundscapes (Ditch the Boring Stuff,Global Citizen Language Learning,audiobook,owned,,2026-01-17,,1,audible-shared,
Vector,Robyn Arianrhod,ebook+library,borrowed,,2026-01-12,2026-07-13,4,kindle-library; libby; library-via-kindle,
Death and Other Occupational Hazards,Veronika Dapunt,audiobook,owned,,2026-01-09,,1,audible-shared,
The Beautiful Brain: The Drawings of Santiago Ramon y Cajal,"Larry W. Swanson,Eric Newman,Alfonso Araqu",ebook,borrowed,,2025-12-26,,2,kindle-library; kindle-unlimited,
The Inner Game of Tennis,W. Timothy Gallwey,library,borrowed,,2025-12-20,,1,libby,
Awareness: Conversations with the Masters (Unabridged),,,wishlist,,2025-12-09,,1,audible-wishlist,
What Fresh Hell Is This?,Heather Corinna,library,borrowed,,2025-12-02,,1,libby,
The Complete Human Body,Dr. Alice Roberts,library+print,owned,,2025-11-30,,1,libby; shelf-photo,
Tools Of Titans: A Comprehensive Guide To High-Performance Tools And Tactics F,"Timothy Ferriss,Arnold Schwarzenegger",ebook,borrowed,,2025-11-30,,2,kindle-library; kindle-unlimited,
Tribe Of Mentors: Transformative Wisdom From Icons and Innovators to Help You ,Timothy Ferriss,ebook,borrowed,,2025-11-30,,2,kindle-library; kindle-unlimited,
Atmosphere: A GMA Book Club Pick: A Love Story,Taylor Jenkins Reid,ebook+library,borrowed,,2025-11-26,2026-02-19,4,kindle-library; libby; library-via-kindle,
Sensation & Perception,,print,owned,,2025-11-20,,1,amazon-print,
The Great Nerve: The New Science of the Vagus Nerve and How to Harness Its Hea,,,wishlist,,2025-11-19,,1,audible-wishlist,
Quantum Healing,"Deepak Chopra, M.D.",library,borrowed,,2025-11-01,,1,libby,
Player Piano,Kurt Vonnegut,library,borrowed,,2025-10-29,,1,libby,
